title,company,location,experience_level,url,requirements_and_qualifications,climate_sectors,climate_opportunity_areas,climate_innovation_imperatives,applicable_majors,salary_min,salary_max,salary_type,company_description,skills,due_date,source,scraped_at
IT Administrator,ChargePoint,"Campbell, CA",Associate,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8376410002,"The IT Administrator role requires a minimum of 5 years of experience in enterprise IT and a relevant bachelor's degree. Key skills include customer service, troubleshooting, communication, multitasking, and project management, supported by technical expertise in MS Windows, MacOS, SaaS applications, Microsoft 365, and asset tracking tools.",Transportation,Vehicle Electrification,Flexible EV Charging,"Computer Science, Information Systems & IT, Electrical Engineering, Industrial & Systems Engineering, Business Administration & Management",,,yearly,"ChargePoint is at the center of the electric vehicle revolution, powering one of the world’s leading EV charging networks and providing hardware, software and mobile solutions.","Troubleshooting, Customer Service, Communication, Project Management, MS Windows, MacOS, SaaS Applications, Microsoft 365, JIRA, Mobile Device Management",,Greenhouse API,2026-02-14T19:18:57.024221
"Power Electronics Firmware, Senior Manager",ChargePoint,"Campbell, CA",Senior,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8224187002,"The candidate should have 5+ years of experience in developing embedded firmware for power control applications and advanced skills in writing C code for microcontrollers, DSPs, as well as FPGAs. They should have experience in designing and implementing embedded control systems for various power electronics and leading board bring-up activities.","Transportation, Electricity",Vehicle Electrification,Flexible EV Charging,"Electrical Engineering, Computer Science, Chemical Engineering, Mechanical Engineering, Energy Science & Engineering",,,yearly,"ChargePoint is an electric vehicle charging network and provides hardware, software, and mobile solutions for EV charging across North America and Europe.","Embedded Firmware, Power Electronics, C, Microcontrollers, DSPs, FPGAs, Control Systems, CAN, I2C, SPI",,Greenhouse API,2026-02-14T19:18:57.025476
Principal Power Electronics Control Firmware Engineer,ChargePoint,"Campbell, CA",Lead/Principal,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8235128002,"The candidate needs 7+ years of experience developing embedded firmware for power control applications. Expertise in C code for microcontrollers, DSPs, and FPGAs, and experience with power electronics systems, renewable energy, electric vehicle charging, or energy storage technologies are highly valued.","Transportation, Electricity","Vehicle Electrification, Energy Storage & Demand Flexibility","Flexible EV Charging, Battery Performance","Electrical Engineering, Computer Science, Mechanical Engineering, Chemical Engineering, Energy Science & Engineering",,,yearly,"ChargePoint is an EV charging network and provider of hardware, software and mobile solutions for EV charging across North America and Europe.","Embedded Firmware, Power Electronics, C, Microcontrollers, DSPs, FPGAs, CAN, I2C, SPI, HIL",,Greenhouse API,2026-02-14T19:18:57.026551
Principal Power Electronics Engineer,ChargePoint,"Campbell, CA",Lead/Principal,https://www.chargepoint.com/about/opportunities/job/?gh_jid=7950634002,"The candidate should have experience in designing high power AC and DC systems for EV chargers, collaborating with engineers in the development of high-power converters, and modeling power designs using analysis tools. Familiarity with power topologies, integrated circuit controllers, FPGAs / PLDs, and DSP digital control is also required.","Transportation, Electricity","Vehicle Electrification, Energy Storage & Demand Flexibility","Flexible EV Charging, Demand Response","Electrical Engineering, Mechanical Engineering, Energy Science & Engineering, Computer Science, Materials Science & Engineering",,,yearly,"ChargePoint is an electric vehicle charging network and provides hardware, software, and mobile solutions for EV charging across North America and Europe.","Power Electronics, AC-DC Converters, DC-DC Converters, PLECS, Matlab, Spice, FPGA, DSP, PCB Layout, Thermal Design",,Greenhouse API,2026-02-14T19:18:57.027346
Regulatory Safety Engineer,ChargePoint,"Campbell, CA",Associate,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8398778002,"The candidate must have experience with electrical safety standards for EV charging, including UL and IEC standards. They will inform product design, participate in test plan creation, perform safety tests, and obtain safety certifications, working with labs like Underwriters Laboratories.","Transportation, Electricity","Vehicle Electrification, Energy Storage & Demand Flexibility","Flexible EV Charging, Demand Response","Electrical Engineering, Mechanical Engineering, Environmental Engineering, Materials Science & Engineering, Energy Science & Engineering",,,yearly,"ChargePoint is a leading EV charging network provider offering hardware, software, and mobile solutions.","Electrical Safety, UL Standards, IEC Standards, Product Design, Test Planning, Certification, Debugging, Energy Management",,Greenhouse API,2026-02-14T19:18:57.028003
Senior Bid Manager ,ChargePoint,Munich,Senior,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8415314002,"The Senior Bid Manager will lead and coordinate the bid qualification process, collaborate with various teams to assess the ChargePoint solution fit, and establish bid timelines. They will also monitor bid performance metrics and refine bid processes, templates, and best practices, including automation.","Transportation, Electricity",Vehicle Electrification,Flexible EV Charging,"Business Administration & Management, Engineering: Electrical Engineering, Engineering: Industrial & Systems Engineering, Economics, Supply Chain & Logistics",,,yearly,"ChargePoint is an electric vehicle charging network and provider of hardware, software and mobile solutions.","Bid management, Commercial strategy, Solution engineering, Bid analysis, Stakeholder management, Process improvement, Automation, Executive summaries, Value propositions",,Greenhouse API,2026-02-14T19:18:57.028682
Senior Data Engineer,ChargePoint,"Bangalore, India",Senior,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8375755002,"The Senior Data Engineer role requires experience in designing, building, and maintaining data infrastructure with strong problem-solving skills. Proficiency in Python and experience with the AWS data stack, PySpark, and Apache Spark are essential.","Transportation, Electricity","Vehicle Electrification, Energy Storage & Demand Flexibility","Flexible EV Charging, Demand Response","Computer Science, Data Science & Machine Learning, Engineering: Electrical Engineering, Engineering: Industrial & Systems Engineering, Mathematics & Applied Math",,,yearly,"ChargePoint is a company that is building the EV charging industry by providing EV charging networks and hardware, software, and mobile solutions.","Data Pipeline Development, Problem Solving, Python, AWS, PySpark, Apache Spark, Data Engineering",,Greenhouse API,2026-02-14T19:18:57.030581
Senior Hardware Engineer,ChargePoint,"Campbell, CA",Senior,https://www.chargepoint.com/about/opportunities/job/?gh_jid=7510579002,"The candidate should have strong electrical/electronic design skills with experience in embedded processors, high-speed interfaces, memory, power, analog sensing, and control circuits. Proficiency with board CAD, Schematic, Simulation, and PCB Layout tools is required.",Transportation,Vehicle Electrification,"Flexible EV Charging, Battery Performance","Electrical Engineering, Computer Science, Mechanical Engineering, Materials Science & Engineering, Engineering Physics",,,yearly,"ChargePoint is a leading EV charging network that provides hardware, software and mobile solutions for EV charging across North America and Europe.","Electrical circuit design, Printed Circuit Boards (PCB), Embedded processors, High-speed interfaces, CAD, Schematic, Simulation, PCB Layout, Analog sensing, Motor control",,Greenhouse API,2026-02-14T19:18:57.031127
Senior Hardware Technical Program Manager,ChargePoint,"Campbell, CA",Senior,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8400645002,"The candidate should have experience in manufacturing and process development, including managing new product introductions (NPI) for PCBA and FATP lines. They should also have experience with performance monitoring and improvement related to yields and throughput.",Transportation,Vehicle Electrification,Flexible EV Charging,"Engineering: Mechanical Engineering, Engineering: Electrical Engineering, Engineering: Industrial & Systems Engineering, Engineering: Materials Science & Engineering, Business: Supply Chain & Logistics",,,yearly,"ChargePoint is an electric vehicle charging network and provider of hardware, software, and mobile solutions.","Manufacturing processes, NPI, PCBA, FATP, DFx, Yield optimization, Supply chain management, Automation, Cross-functional collaboration, Technical program management",,Greenhouse API,2026-02-14T19:18:57.032200
Senior Hardware Test Engineer,ChargePoint,Thailand,Senior,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8316345002,"The Senior Hardware Test Engineer will design, validate, and deploy automated production testers at contract manufacturers. They will collaborate cross-functionally on test requirements and analyze test results from manufacturing facilities.",Transportation,Vehicle Electrification,Flexible EV Charging,"Electrical Engineering, Mechanical Engineering, Computer Science, Materials Science & Engineering, Industrial & Systems Engineering",,,yearly,"ChargePoint is an electric vehicle charging network that provides hardware, software, and mobile solutions for EV charging across North America and Europe.","Test Engineering, Hardware Testing, PCBA, Schematic Review, Data Analysis, Manufacturing, Test Systems, Validation, Debugging, Cross-functional Collaboration",,Greenhouse API,2026-02-14T19:18:57.032851
Senior Recruiting Coordinator,ChargePoint,"Gurgaon, India",Associate,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8089978002,"The role involves coordinating interviews, managing candidate experience, and ensuring timely completion of background checks and documentation. Strong communication, problem-solving, and organizational skills are required.","Transportation, Electricity",Vehicle Electrification,Flexible EV Charging,"Business Administration & Management, Communications & Journalism, Human Resources, Industrial & Systems Engineering, Management Science & Engineering",,,yearly,"ChargePoint is a leading EV charging network and provider of comprehensive hardware, software, and mobile solutions for electric vehicle charging.","recruiting, interview coordination, candidate experience, communication, problem-solving, scheduling, onboarding, documentation",,Greenhouse API,2026-02-14T19:18:57.034002
Senior Software Engineer,ChargePoint,Austria,Senior,https://www.chargepoint.com/about/opportunities/job/?gh_jid=7737578002,"The role requires experience in architecting scalable systems and contributing to code reviews. Proficiency in Kotlin and/or PHP, building RESTful APIs, and understanding unfamiliar codebases is expected.",Transportation,Vehicle Electrification,Flexible EV Charging,"Computer Science, Electrical Engineering, Software Engineering, Data Science & Machine Learning, Information Systems & IT",,,yearly,"ChargePoint is an electric vehicle charging network and provider of hardware, software and mobile solutions for EV charging.","Kotlin, PHP, RESTful APIs, Software Engineering, System Architecture, Code Review, Documentation",,Greenhouse API,2026-02-14T19:18:57.034652
Senior Software Engineer ,ChargePoint,Amsterdam ,Senior,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8279742002,Looking for a highly skilled and motivated Senior Software Engineer to develop and maintain vehicle and charger software solutions. The ideal candidate will bring outside experience to offer a new perspective on ChargePoint's tech stack.,"Transportation, Electricity",Vehicle Electrification,Flexible EV Charging,"Computer Science, Electrical Engineering, Software Engineering, Data Science & Machine Learning, Energy Science & Engineering",,,yearly,"ChargePoint is at the center of the electric vehicle revolution, powering one of the world’s leading EV charging networks.","Software Development, Software Engineering",,Greenhouse API,2026-02-14T19:18:57.037268
Senior Software Engineer - Android,ChargePoint,"Bangalore, India",Senior,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8284879002,"The Senior Android Engineer will play a key role in delivering intuitive, high-performance mobile experiences that empower EV drivers to locate chargers, start sessions, track usage, and manage their vehicles on the go. They will design and develop advanced Android features across the charging experience and work with Jetpack Compose, Kotlin, and modern Android patterns (MVVM/MVI).",Transportation,Vehicle Electrification,Flexible EV Charging,"Computer Science, Electrical Engineering, Software Engineering, Data Science & Machine Learning, Mathematics & Applied Math",,,yearly,"ChargePoint is at the center of the electric vehicle revolution, powering one of the world’s leading EV charging networks and providing hardware, software and mobile solutions.","Android, Jetpack Compose, Kotlin, MVVM, MVI, Mobile Development, Software Engineering",,Greenhouse API,2026-02-14T19:18:57.038844
Senior Software QA Engineer,ChargePoint,"Campbell, CA",Senior,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8232437002,"The role requires a Bachelor's or Master's degree in Computer Engineering or Electrical Engineering with 5 years of experience in software development/testing. Candidates should have strong knowledge and experience in software QA methodologies, tools and processes, as well as proficiency in manual and automation testing for web/mobile applications with Python/Java.","Transportation, Electricity",Vehicle Electrification,Flexible EV Charging,"Computer Science, Electrical Engineering, Engineering: Mechanical Engineering, Data Science & Machine Learning, Software Engineering",,,yearly,"ChargePoint is an electric vehicle charging network that provides hardware, software, and mobile solutions for EV charging across North America and Europe.","Software QA, Automation Testing, Web Applications, Mobile Applications, Python, Java, API, SQL, Linux, Jenkins",,Greenhouse API,2026-02-14T19:18:57.039446
"Senior Technical Program Manager, Hardware",ChargePoint,Thailand,Senior,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8419934002,The candidate should have a bachelor's degree in engineering with 8+ years of hands-on experience in PCBA/FATP product design and commercialization companies. Experience in DFx methodologies and in-depth knowledge of quality methodologies is also required.,"Transportation, Electricity",Vehicle Electrification,Flexible EV Charging,"Engineering: Mechanical Engineering, Engineering: Electrical Engineering, Engineering: Industrial & Systems Engineering, Engineering: Materials Science & Engineering, Business: Supply Chain & Logistics",,,yearly,"ChargePoint is an electric vehicle charging network and provides hardware, software, and mobile solutions.","Manufacturing, Process Development, PCBA, FATP, DFx, Quality methodologies, Product design, NPI, Troubleshooting, Hardware testing",,Greenhouse API,2026-02-14T19:18:57.039949
Service Delivery Manager,ChargePoint,US - Remote,Associate,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8382607002,"The Service Delivery Manager needs to take initiative, research and solve problems, independently and in collaboration with peers and other teams. They must be able to develop trusted advisor relationships with customer stakeholders.",Transportation,Vehicle Electrification,Flexible EV Charging,"Business Administration & Management, Engineering: Electrical Engineering, Engineering: Industrial & Systems Engineering, Computer Science, Sustainability & Sustainable Development",,,yearly,"ChargePoint is an electric vehicle charging network providing hardware, software, and mobile solutions for EV charging across North America and Europe.","customer satisfaction, stakeholder engagement, problem-solving, communication, customer onboarding",,Greenhouse API,2026-02-14T19:18:57.041169
Staff Data Scientist ,ChargePoint,"Bangalore, India",Senior,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8241134002,"The Staff Data Scientist role requires expertise in machine learning, advanced data analytics, and statistical modeling. The ideal candidate will have experience in designing, developing, and deploying machine learning models, as well as working with cross-functional teams to deliver data-driven solutions.",Transportation,Vehicle Electrification,Flexible EV Charging,"Computer Science, Data Science & Machine Learning, Mathematics & Applied Math, Statistics & Biostatistics, Engineering: Electrical Engineering",,,yearly,"ChargePoint is an electric vehicle charging network company providing hardware, software, and mobile solutions for EV charging across North America and Europe.","Machine Learning, Data Analysis, Statistical Modeling, Data Pipelines, Data Engineering, Data Mining, Python, SQL",,Greenhouse API,2026-02-14T19:18:57.041636
Staff Engineer - NOC Services Automation,ChargePoint,"Bangalore, India",Senior,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8393893002,"The position requires 8+ years of engineering experience with a strong grasp of architecture and design principles, experience in cloud native solutions, and the ability to translate software requirements to low level design. The candidate should operate with a security and reliability-first mindset and possess strong communication skills.","Transportation, Electricity","Vehicle Electrification, Energy Storage & Demand Flexibility","Flexible EV Charging, Demand Response","Computer Science, Electrical Engineering, Data Science & Machine Learning, Engineering Physics, Energy Science & Engineering",,,yearly,"ChargePoint is an electric vehicle charging network and provider of hardware, software, and mobile solutions for EV charging across North America and Europe.","Cloud Native Solutions, Analytics Dashboards, Software Development, Web Technologies, Agile, Data Flow Diagrams, Security, Data Structures",,Greenhouse API,2026-02-14T19:18:57.042138
Staff Power Electronics Control Firmware Engineer,ChargePoint,"Campbell, CA",Senior,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8236001002,"The candidate should have 5+ years of experience in embedded power control firmware development, specifically for next-generation fast-charging products. Expertise in Control Engineering and Power Electronics is required, along with proficiency in C/C++, Assembly for 32-bit controllers, DSP’s and Python for scripting.","Transportation, Electricity","Vehicle Electrification, Energy Storage & Demand Flexibility","Flexible EV Charging, Demand Response","Electrical Engineering, Computer Science, Engineering Physics, Mechanical Engineering, Renewable Energy Engineering",,,yearly,"ChargePoint is an electric vehicle charging network provider offering hardware, software, and mobile solutions for EV charging needs in North America and Europe.","Power Electronics, Embedded Systems, Firmware Development, C/C++, Python, Control Engineering, CAN, I2C, SPI, Digital Control",,Greenhouse API,2026-02-14T19:18:57.042880
Staff Power Electronics Engineer,ChargePoint,"Campbell, CA",Associate,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8404612002,"The candidate should be experienced in the architecture and design of high-power AC and DC systems for consumer and commercial EV chargers, as well as the development of high-power AC to DC and DC to DC converters. Proficiency in power topologies and modeling tools like PLECS, MATLAB, and Spice is required.","Transportation, Electricity","Vehicle Electrification, Energy Storage & Demand Flexibility","Flexible EV Charging, Demand Response","Electrical Engineering, Mechanical Engineering, Chemical Engineering, Materials Science & Engineering, Computer Science",,,yearly,"ChargePoint is an electric vehicle charging network and provider of hardware, software, and mobile solutions for EV charging across North America and Europe.","Power Electronics, AC-DC converters, DC-DC converters, PLECS, MATLAB, Spice, PCB layout, FPGA, DSP, Embedded software development",,Greenhouse API,2026-02-14T19:18:57.043476
Staff Software Engineer,ChargePoint,"Campbell, CA",Senior,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8186703002,"The role requires 10+ years of experience in backend or cloud software engineering and strong proficiency in programming languages such as Java, Go, or Python. Experience with cloud platforms (AWS, GCP, or Azure), containerization (Docker, Kubernetes), CI/CD pipelines, and distributed systems is also required.","Transportation, Electricity","Vehicle Electrification, Energy Storage & Demand Flexibility","Flexible EV Charging, Demand Response","Computer Science, Electrical Engineering, Energy Science & Engineering, Data Science & Machine Learning, Software Engineering",,,yearly,ChargePoint is a company focused on providing EV charging networks and solutions across North America and Europe.,"Java, Go, Python, AWS, GCP, Azure, Docker, Kubernetes, CI/CD, RESTful APIs",,Greenhouse API,2026-02-14T19:18:57.044081
Staff Software Engineer - Embedded Software,ChargePoint,"Campbell, CA",Senior,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8392820002,"The role requires a B.S. or higher in Computer Science, Computer Engineering, Electrical Engineering, or a related technical field, along with 5+ years of experience in developing embedded firmware using C/C++. Hands-on experience developing for Linux, RTOS, and bare-metal systems is also required.","Transportation, Electricity","Vehicle Electrification, Energy Storage & Demand Flexibility","Flexible EV Charging, Demand Response","Computer Science, Computer Engineering, Electrical Engineering, Engineering Physics, Software Engineering",,,yearly,"ChargePoint is an electric vehicle charging network and provider of hardware, software and mobile solutions for EV charging.","Embedded Software, C++, Linux, RTOS, Firmware, ARM, FreeRTOS",,Greenhouse API,2026-02-14T19:18:57.044742
Staff Software Engineer -Java,ChargePoint,"Bangalore, India",Senior,https://www.chargepoint.com/about/opportunities/job/?gh_jid=7737664002,"The candidate should have a Bachelor's degree in Computer Science or equivalent, with 8+ years of industry experience. Strong experience in Java/Kotlin with Spring Boot is required along with knowledge of SQL and NoSQL databases and queuing technologies like Kafka and RabbitMQ.","Transportation, Electricity","Vehicle Electrification, Energy Storage & Demand Flexibility","Flexible EV Charging, Demand Response","Computer Science, Electrical Engineering, Software Engineering, Data Science & Machine Learning, Mathematics & Applied Math",,,yearly,"ChargePoint is an electric vehicle charging network and provider of hardware, software and mobile solutions for EV charging.","Java, Kotlin, Spring Boot, SQL, NoSQL, Kafka, RabbitMQ, Backend Development, API Design",,Greenhouse API,2026-02-14T19:18:57.045089
Staff Vehicle Interoperability Program Manager,ChargePoint,"Hybrid - Cambell, CA",Associate,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8394735002,"The Vehicle Interoperability Program Manager will lead the development, coordination, and management of ChargePoint’s vehicle interoperability testing process. They will work cross-functionally with internal and external stakeholders to ensure that new electric vehicles are fully compatible with ChargePoint’s products and facilitate the resolutions of complex vehicle interoperability issues.",Transportation,Vehicle Electrification,Flexible EV Charging,"Electrical Engineering, Mechanical Engineering, Computer Science, Engineering Physics, Materials Science & Engineering",,,yearly,"ChargePoint is building one of the world’s leading EV charging networks and a comprehensive set of hardware, software and mobile solutions.","Electric vehicles, Interoperability testing, Cross-functional coordination, Stakeholder management, Troubleshooting, Test planning",,Greenhouse API,2026-02-14T19:18:57.045653
Director of Feedstock Sourcing (Textile),Circ,Europe - Remote,Executive,https://circ.earth/careers-listing/?gh_jid=4626995006,"The Director of Feedstock Sourcing will lead the sourcing strategy and execution for post-consumer textile feedstock supporting Circ’s textile-to-textile recycling platform. The role requires a highly organized, hands-on operator comfortable owning both strategic and tactical work in complex, global environments. Extensive global travel is required, particularly to APAC sourcing regions.",Manufacturing,Fashion & Textiles,Waste-to-Value,"Supply Chain & Logistics, Business Administration & Management, Environmental Science, Sustainability & Sustainable Development, Chemical Engineering",,,yearly,Circ is a textile recycling company pioneering technology to recycle polycotton into reusable fibers.,"Sourcing, Supply Chain Management, Textile Recycling, Negotiation, Global Logistics, Strategic Planning",,Greenhouse API,2026-02-14T19:18:58.377413
Engineering Cost Controls Manager,Circ,Remote,Associate,https://circ.earth/careers-listing/?gh_jid=4596305006,"The role requires strong experience in project cost control, including budget and forecast management. Excellent communication skills in English are essential, and proficiency in French is a plus.",Manufacturing,Fashion & Textiles,Bio-Based Feedstocks,"Engineering: Chemical Engineering, Engineering: Industrial & Systems Engineering, Business: Finance & Accounting, Business: Supply Chain & Logistics, Engineering: Environmental Engineering",,,yearly,Circ is a company focused on recycling polycotton textile waste into reusable fibers for the fashion industry.,"Cost control, Budgeting, Forecasting, Project management, Data collection, Productivity analysis, Financial tracking, Quality assurance",,Greenhouse API,2026-02-14T19:18:58.378576
Engineering Document Controls Manager,Circ,Remote,Associate,https://circ.earth/careers-listing/?gh_jid=4596254006,"The candidate should be highly organized, able to manage multiple priorities simultaneously, and have a keen eye for detail. Excellent verbal and written communication skills in English are required. Experience with quality management processes and standards is a plus.",Manufacturing,Fashion & Textiles,Waste-to-Value,"Engineering: Industrial & Systems Engineering, Engineering: Chemical Engineering, Business: Supply Chain & Logistics, Environment: Environmental Science, Materials Science & Engineering",,,yearly,Circ is a company focused on recycling polycotton textile waste into reusable fibers for the fashion industry.,"document control, project documentation, stakeholder management, quality management, administrative support",,Greenhouse API,2026-02-14T19:18:58.379777
General Interest,Circ,Remote,Entry-Level,https://circ.earth/careers-listing/?gh_jid=4059830006,"This is a general interest application, so there are no specific requirements. Interested candidates are encouraged to apply even if there isn't a currently listed position that matches their skill set.","Fashion & Textiles, Manufacturing","Cross-Cutting Manufacturing, Fashion & Textiles","Bio-Based Feedstocks, Electrified Chemical Processes","Engineering: Chemical Engineering, Engineering: Materials Science & Engineering, Sciences: Chemistry, Environment: Environmental Science, Business: Business Administration & Management",,,yearly,Circ is a company that is always looking for talented individuals who may fit into their team in the future.,,,Greenhouse API,2026-02-14T19:18:58.379958
Commercial Agronomist - Coastal Region,Pivot Bio,"Remote - Lancaster, PA",Entry-Level,https://www.pivotbio.com/job-description?gh_jid=8355585002,"This role requires expertise in agronomy to support sales and product adoption through field trials, presentations, and customer relationships within a defined territory.","Food, Agriculture, & Nature",Sustainable Crops,Nitrogen Innovation,"Agricultural Science & Engineering, Environmental Science, Biology & Biochemistry, Environmental Engineering, Sustainability & Sustainable Development",,,yearly,Pivot Bio is pioneering advances in fertilizer technology by harnessing naturally-occurring microbes to provide nitrogen to crops.,"Agronomy, Field trials, Customer relationship management, Sales support, Presentations",,Greenhouse API,2026-02-14T19:18:59.861856
Commercial Agronomist - Prairie Region,Pivot Bio,"Remote - Omaha, NE",Entry-Level,https://www.pivotbio.com/job-description?gh_jid=8359931002,Specific requirements and qualifications for the Commercial Agronomist role are not included in the provided snippet.,"Food, Agriculture, & Nature",Sustainable Crops,Nitrogen Innovation,"Agricultural Science & Engineering, Environmental Science, Biology & Biochemistry, Environmental Engineering, Sustainability & Sustainable Development",,,yearly,Pivot Bio is pioneering advances in fertilizer technology by harnessing the power of naturally-occurring microbes to provide nitrogen to crops.,Agronomy,,Greenhouse API,2026-02-14T19:18:59.867436
"Director, Data Architect",Pivot Bio,"St. Louis, MO",Executive,https://www.pivotbio.com/job-description?gh_jid=8419925002,"The job posting excerpt does not contain the requirements and qualifications for the Director, Data Architect position.","Food, Agriculture, & Nature",Sustainable Crops,Nitrogen Innovation,"Agricultural Science & Engineering, Data Science & Machine Learning, Computer Science, Environmental Science, Biology & Biochemistry",,,yearly,Pivot Bio is pioneering advances in fertilizer technology by harnessing naturally-occurring microbes and gene editing to provide nitrogen to crops.,,,Greenhouse API,2026-02-14T19:18:59.870090
Lab Automation Specialist,Pivot Bio,"St. Louis, MO",Entry-Level,https://www.pivotbio.com/job-description?gh_jid=8402282002,"This role likely involves operating and maintaining lab automation equipment, optimizing protocols, and working with scientific data. Experience with laboratory automation systems, data analysis, and biological or chemical experimentation would be beneficial.","Food, Agriculture, & Nature",Sustainable Crops,Nitrogen Innovation,"Agricultural Science & Engineering, Bioengineering & Biomedical Engineering, Chemical Engineering, Biology & Biochemistry, Environmental Science",,,yearly,Pivot Bio is pioneering advances in fertilizer technology using naturally-occurring microbes and gene editing to provide nitrogen to crops.,"Lab Automation, Data Analysis, Microbiology, Genomics, Equipment Maintenance, Protocol Optimization, Experimentation",,Greenhouse API,2026-02-14T19:18:59.875845
Lab Services Coordinator,Pivot Bio,"Creve Coeur, MO",Entry-Level,https://www.pivotbio.com/job-description?gh_jid=8393080002,"This role likely requires experience in a lab setting, knowledge of scientific protocols, and organizational skills to manage lab resources and support research activities. A background in biology, chemistry, or a related field would be beneficial.","Food, Agriculture, & Nature",Sustainable Crops,Nitrogen Innovation,"Agricultural Science & Engineering, Biology & Biochemistry, Chemical Engineering, Environmental Science, Sustainability & Sustainable Development",,,yearly,Pivot Bio is pioneering advances in fertilizer technology using naturally-occurring microbes to provide nitrogen to crops.,"Laboratory Management, Scientific Protocols, Organization, Inventory Management",,Greenhouse API,2026-02-14T19:18:59.876943
Research Associate II - Downstream Process Development,Pivot Bio,"St. Louis, MO",Associate,https://www.pivotbio.com/job-description?gh_jid=8379894002,"This role focuses on downstream process development for Pivot Bio, involving work with microbes and crop nutrition. Specific requirements would be detailed in the full job description.","Food, Agriculture, & Nature",Sustainable Crops,Nitrogen Innovation,"Bioengineering & Biomedical Engineering, Chemical Engineering, Agricultural Science & Engineering, Biology & Biochemistry, Environmental Science",,,yearly,Pivot Bio is pioneering advances in fertilizer technology using naturally-occurring microbes and gene editing to provide nitrogen to crops and improve yields.,"Microbiology, Genomics, Downstream Processing, Fermentation, Bioprocessing",,Greenhouse API,2026-02-14T19:18:59.878682
Research Associate I – Microbial Lab,Pivot Bio,"St. Louis, MO",Entry-Level,https://www.pivotbio.com/job-description?gh_jid=8419931002,"While the specific requirements are not listed in the provided text, a Research Associate I role in a microbial lab typically requires a bachelor's degree in a relevant scientific field such as biology or microbiology, and experience with laboratory techniques.","Food, Agriculture, & Nature",Sustainable Crops,Nitrogen Innovation,"Biology & Biochemistry, Agricultural Science & Engineering, Environmental Science, Chemical Engineering, Bioengineering & Biomedical Engineering",,,yearly,Pivot Bio is pioneering advances in fertilizer technology using naturally-occurring microbes and gene editing to provide nitrogen to crops.,"Microbiology, Genomics, Laboratory Techniques, Molecular Biology, Data Analysis",,Greenhouse API,2026-02-14T19:18:59.880897
Scientist I - Fermentation,Pivot Bio,"St. Louis, MO",Entry-Level,https://www.pivotbio.com/job-description?gh_jid=8385216002,Job description not fully provided.,"Food, Agriculture, & Nature",Sustainable Crops,Nitrogen Innovation,"Agricultural Science & Engineering, Biology & Biochemistry, Chemical Engineering, Bioengineering & Biomedical Engineering, Environmental Science",,,yearly,Pivot Bio is pioneering advances in fertilizer technology by harnessing naturally-occurring microbes to provide nitrogen to crops.,Fermentation,,Greenhouse API,2026-02-14T19:18:59.883294
Senior IT Support Technician,Pivot Bio,"St. Louis, MO",Senior,https://www.pivotbio.com/job-description?gh_jid=8419964002,This is an IT support role. Specific requirements are not provided in the text.,"Food, Agriculture, & Nature",Sustainable Crops,Nitrogen Innovation,"Agricultural Science & Engineering, Environmental Science, Biology & Biochemistry, Computer Science, Information Systems & IT",,,yearly,"Pivot Bio is pioneering advances in fertilizer technology by harnessing the power of naturally-occurring microbes, modern gene editing and application technologies to provide nitrogen to crops.","IT Support, Troubleshooting, Technical Support",,Greenhouse API,2026-02-14T19:18:59.884574
Senior Research Associate – Downstream Process Development,Pivot Bio,"St. Louis, MO",Associate,https://www.pivotbio.com/job-description?gh_jid=8379900002,"While the full requirements are not available, this role requires experience in downstream process development and familiarity with microbiology, genomics, and agriculture. The candidate will contribute to the development of fertilizer technology using naturally-occurring microbes.","Food, Agriculture, & Nature",Sustainable Crops,Nitrogen Innovation,"Chemical Engineering, Bioengineering & Biomedical Engineering, Agricultural Science & Engineering, Biology & Biochemistry, Food Science & Technology",,,yearly,Pivot Bio is pioneering advances in fertilizer technology by harnessing the power of naturally-occurring microbes to provide nitrogen to crops.,"Microbiology, Genomics, Downstream Process Development, Fertilizer Technology, Data Analysis",,Greenhouse API,2026-02-14T19:18:59.886007
